iter	Passed	Remaining
816	6746	1511
817	6753	1502
818	6760	1494
819	6767	1485
820	6774	1476
821	6781	1468
822	6787	1459
823	6794	1451
824	6801	1442
825	6809	1434
826	6816	1425
827	6822	1417
828	6829	1408
829	6835	1400
830	6842	1391
831	6850	1383
832	6857	1374
833	6863	1366
834	6870	1357
835	6876	1349
836	6884	1340
837	6891	1332
838	6899	1323
839	6907	1315
840	6915	1307
841	6923	1299
842	6931	1290
843	6938	1282
844	6945	1274
845	6952	1265
846	6958	1257
847	6965	1248
848	6973	1240
849	6980	1231
850	6987	1223
851	6994	1215
852	7001	1206
853	7008	1198
854	7015	1189
855	7022	1181
856	7030	1173
857	7037	1164
858	7043	1156
859	7051	1147
860	7057	1139
861	7064	1130
862	7072	1122
863	7079	1114
864	7088	1106
865	7102	1099
866	7109	1090
867	7117	1082
868	7125	1074
869	7132	1065
870	7139	1057
871	7147	1049
872	7154	1040
873	7162	1032
874	7169	1024
875	7177	1016
876	7186	1007
877	7194	999
878	7202	991
879	7210	983
880	7219	975
881	7227	966
882	7235	958
883	7243	950
884	7251	942
885	7259	934
886	7267	925
887	7276	917
888	7283	909
889	7291	901
890	7298	892
891	7305	884
892	7312	876
893	7319	867
894	7326	859
895	7334	851
896	7341	843
897	7349	834
898	7357	826
899	7365	818
900	7372	810
901	7380	801
902	7387	793
903	7395	785
904	7402	777
905	7409	768
906	7417	760
907	7425	752
908	7433	744
909	7440	735
910	7448	727
911	7456	719
912	7464	711
913	7472	703
914	7481	695
915	7490	686
916	7498	678
917	7505	670
918	7513	662
919	7520	653
920	7527	645
921	7534	637
922	7541	629
923	7548	620
924	7555	612
925	7563	604
926	7570	596
927	7578	587
928	7586	579
929	7593	571
930	7601	563
931	7607	555
932	7614	546
933	7621	538
934	7628	530
935	7635	522
936	7643	513
937	7651	505
938	7658	497
939	7665	489
940	7672	481
941	7678	472
942	7685	464
943	7692	456
944	7699	448
945	7706	439
946	7713	431
947	7719	423
948	7726	415
949	7733	407
950	7741	398
951	7748	390
952	7755	382
953	7761	374
954	7768	366
955	7775	357
956	7782	349
957	7789	341
958	7797	333
959	7803	325
960	7810	316
961	7816	308
962	7823	300
963	7830	292
964	7837	284
965	7844	276
966	7851	267
967	7858	259
968	7865	251
969	7872	243
970	7880	235
971	7888	227
972	7896	219
973	7903	210
974	7910	202
975	7917	194
976	7923	186
977	7930	178
978	7937	170
979	7944	162
980	7985	154
981	7994	146
982	8004	138
983	8012	130
984	8021	122
985	8028	113
986	8037	105
987	8044	97
988	8053	89
989	8060	81
990	8069	73
991	8076	65
992	8084	56
993	8090	48
994	8098	40
995	8105	32
996	8112	24
997	8119	16
998	8127	8
999	8135	0
